status,gid,email,date,deadline,progress,rating,count,title,author,publisher,first_edition,ISBN,language,category,publication,comment,_id,arrival_date
FALSE,,,,,,,,Rhinocerosで極める3Dデジタルデザイン,中島淳雄,ラトルズ,2013/10/25,978-4899773900,日本語,設計・ソフトウェア・DIY,単行本,,one_1,2017/8/8
FALSE,,,,,,,,Fusion 360 モデリング・マスター,礒 信一,ソーテック社,2016/07/22,978-4800711410,日本語,設計・ソフトウェア・DIY,単行本,,one_2,2017/8/8
FALSE,,,,,,,,Fusion 360 Masters,オートデスク株式会社,ソーテック社,2017/04/27,978-4800711632,日本語,設計・ソフトウェア・DIY,単行本,,one_3,2017/8/8
FALSE,,,,,,,,3Dプリンタ用CADソフト Autodesk Meshmixer入門編[日本語版] (TOOL活用シリーズ),岩永 翔伍,CQ出版,2016/01/15,978-4789849524,日本語,アイデェア・イノベーション・ビジネスモデル,ムック,,one_4,2017/8/8
FALSE,,,,,,,,脱! 2次元 面白いほどかんたんにできる! 3Dプリンター,FABLAB渋谷,エクスナレッジ,2014/04/30,978-4767817552,日本語,設計・ソフトウェア・DIY,ムック,,one_5,2017/8/8
FALSE,,,,,,,,We Work HERE 東京の新しい働き方100,ミライインスティチュート,ミライインスティチュート出版,2016/08/08,978-4908774683,日本語,NEW!,単行本,,one_6,2017/8/8
FALSE,,,,,,,,感性商品学―感性工学の基礎と応用,長町 三生,海文堂出版,1993/09,978-4303728205,日本語,NEW!,単行本,,one_7,2017/8/8
FALSE,,,,,,,,Graphic Recorder ―議論を可視化するグラフィックレコーディングの教科書,清水 淳子,ビー・エヌ・エヌ新社,2017/01/27,978-4802510288,日本語,NEW!,単行本,,one_8,2017/8/8
FALSE,,,,,,,,デザインの教室 手を動かして学ぶデザイントレーニング,佐藤 好彦,エムディエヌコーポレーション,2008/04/28,978-4844359791,日本語,NEW!,大型本,メディアあり（CD-ROM）,one_9,2017/8/8
FALSE,,,,,,,,ELLE DECOR (エル・デコ) 2017年 02月号,ハースト婦人画報社,ハースト婦人画報社,2017/01/7,,日本語,NEW!,雑誌,,one_10,2017/8/8
FALSE,,,,,,,,デザインスプリント ―プロダクトを成功に導く短期集中実践ガイド,"Richard Banfield (著), C. Todd Lombardo (著), Trace Wax (著), 安藤 幸央  (監修), 佐藤 伸哉  (監修), & 1 その他",オライリージャパン,2016/11/26,978-4873117805,日本語,NEW!,単行本,,one_11,2017/8/8
FALSE,,,,,,,,MAKERS 21世紀の産業革命が始まる,"クリス・アンダーソン  (著), 関美和 (翻訳)",NHK出版,2012/10/23,978-4140815762,日本語,NEW!,単行本,,one_12,2017/8/8
FALSE,,,,,,,,MAKE SPACE メイク・スペース スタンフォード大学dスクールが実践する創造性を最大化する「場」のつくり方,"スコット・ドーリー (著), スコット・ウィットフト (著), イトーキ オフィス総合研究所 (監修), 藤原朝子 (翻訳)",CCCメディアハウス,2012/11/15,978-4484121260,日本語,NEW!,単行本,"計2冊
（内1冊はMK企画部金子さん所有？個人所有提供分は禁持出）",one_13,2017/8/8
FALSE,,,,,,,,コンピューター&テクノロジー解体新書,"ロン・ホワイト (著), Ron White (著), トップスタジオ (翻訳)",SBクリエイティブ,2015/09/19,978-4797384291,日本語,NEW!,単行本,,one_14,2017/8/8
FALSE,,,,,,,,新建築2016年10月号 オフィス特集,株式会社新建築社,株式会社新建築社,2016/10/01,,日本語,NEW!,雑誌,,one_15,2017/8/8
FALSE,,,,,,,,シェア空間の設計手法,"猪熊 純 (編集), 成瀬 友梨 (編集), 成瀬・猪熊建築設計事務所 (編集), 山道 拓人 (編集), 千葉 元生 (編集), & 7 その他",学芸出版社,2016/12/24,978-4761526313,日本語,NEW!,単行本,,one_16,2017/8/8
FALSE,,,,,,,,ワークスタイル変革最前線,日経情報ストラテジー (編集),日経BP社,2015/06/29,978-4822230494,日本語,NEW!,単行本,,one_17,2017/8/8
FALSE,,,,,,,,WIRED(ワイアード)VOL.28/特集「Making Things ものづくりの未来」,"Conde Nast Japan (コンデナスト・ジャパン)  (著), WIRED編集部 (編集)",コンデナスト・ジャパン,2017/06/08,,日本語,NEW!,雑誌,,one_18,2017/8/8
FALSE,,,,,,,,心理学初歩 (放送大学教材),"辻 敬一郎 (編集), 星 薫 (編集)",放送大学教育振興会,2002/03,978-4595113567,日本語,NEW!,単行本,,one_19,2017/8/8
FALSE,,,,,,,,生産性―――マッキンゼーが組織と人材に求め続けるもの,伊賀 泰代  (著),ダイヤモンド社,2016/11/26,978-4478101575,日本語,NEW!,単行本,,one_20,2017/8/8
FALSE,,,,,,,,職場の問題地図 ~「で、どこから変える?」残業だらけ・休めない働き方,"沢渡 あまね  (著), 白井匠 (イラスト)",技術評論社,2016/09/16,978-4774183688,日本語,NEW!,単行本,,one_21,2017/8/8
FALSE,,,,,,,,事業戦略策定ガイドブックー理論と事例で学ぶ戦略策定の技術ー,坂本 雅明 (著),同文舘出版,2016/07/01,978-4495386719,日本語,NEW!,単行本,,one_22,2017/8/8
FALSE,,,,,,,,作ることで学ぶ ―Makerを育てる新しい教育のメソッド (Make:Japan Books),"Sylvia Libow Martinez  (著), Gary Stager (著), 阿部 和広  (監修), 酒匂 寛 (翻訳)",オライリージャパン,2015/03/25,978-4873117201,日本語,NEW!,単行本,,one_23,2017/8/8
FALSE,,,,,,,,UXの時代――IoTとシェアリングは産業をどう変えるのか,松島聡 (著),英治出版,2016/12/06,978-4862762450,日本語,UX・インターフェイス,単行本,,one_24,2017/8/8
FALSE,,,,,,,,伝わる イラスト思考 (アスカビジネス),松田 純 (著),明日香出版社,2017/01/18,978-4756918758,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_25,2017/8/8
FALSE,,,,,,,,Javaクイックリファレンス 第4版,"David Flanagan (著), イデアコラボレーションズ株式会社 (翻訳)",オライリー・ジャパン,1996/08/08,978-4873111193,日本語,設計・ソフトウェア・DIY,単行本,,one_26,2017/8/8
FALSE,,,,,,,,RPCプログラミング,ジョン ブルーマー (著),アスキー,1995/02/11,978-4756103031,日本語,設計・ソフトウェア・DIY,単行本,,one_27,2017/8/8
FALSE,,,,,,,,Web セキュリティ&コマース,"シムソン ガーフィンケル  (著), ジーン スパフォード  (著)",オライリー・ジャパン,1998/01/29,978-4900900189,日本語,UX・インターフェイス,単行本,,one_28,2017/8/8
FALSE,,,,,,,,TCP/IPスタンダード―インターネットを構成するプロトコルとネットワーク技術,梅田 峰子  (著),ソフトバンククリエイティブ,2000/09/25,978-4797313758,日本語,UX・インターフェイス,単行本,,one_29,2017/8/8
FALSE,,,,,,,,省メモリプログラミング―メモリ制限のあるシステムのためのソフトウェアパターン集,"James Noble (原著), Charles Weir (原著), 安藤 慶一 (翻訳)",ピアソンエデュケーション,2002/06/20,978-4894714083,日本語,設計・ソフトウェア・DIY,単行本,,one_30,2017/8/8
FALSE,,,,,,,,実用CVS,"Jennifer Vesperman (原著), 滝沢 徹 (翻訳), 牧野 祐子 (翻訳)",オライリージャパン,2003/12/19,978-4873111643,日本語,設計・ソフトウェア・DIY,単行本,,one_31,2017/8/8
FALSE,,,,,,,,インダストリアルデザイン―その科学と文化,森 典彦 (編集),朝倉書店,1993/04/20,978-4254200751,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_32,2017/8/8
FALSE,,,,,,,,感性をめぐる商品開発―その方法と実際,長沢 伸也 (編集),日本出版サービス,2002/04/15,978-4889221114,日本語,アイデェア・イノベーション・ビジネスモデル,単行本,,one_33,2017/8/8
FALSE,,,,,,,,Intel Threading Building Blocks: Outfitting C++ for Multi-core Processor Parallelism,James Reinders  (著),O'Reilly,2007/07/12,978-0-596-51480-8,ENGLISH,設計・ソフトウェア・DIY,単行本,,one_34,2017/8/8
FALSE,,,,,,,,SOAP 技術入門 ― Simple Object Access Protocol の概念、活用技法、可能性,"ケナード・スクリブナー (著), マーク・C・スタイバー (著), スリー・エー・システムズ (翻訳)",ピアソン・エデュケーション,2001/06/22,978-4894713963,日本語,設計・ソフトウェア・DIY,単行本,,one_35,2017/8/8
FALSE,,,,,,,,インターネットプロトコルがわかる,加地 真也  (著),技術評論社,2002/01/25,978-4774113838,日本語,設計・ソフトウェア・DIY,単行本,,one_36,2017/8/8
FALSE,,,,,,,,make 改訂版,"Andrew Oram (著), Steve Talbott (著), 矢吹 道郎 (翻訳), 菊池 彰 (翻訳)",オライリー・ジャパン,1997/07/28,978-4900900608,日本語,設計・ソフトウェア・DIY,大型本,,one_37,2017/8/8
FALSE,,,,,,,,集合知プログラミング,"Toby Segaran (著), 當山 仁健 (翻訳), 鴨澤 眞夫 (翻訳)",オライリージャパン,2008/07/23,978-4873113647,日本語,設計・ソフトウェア・DIY,大型本,,one_38,2017/8/8
